ld   e, a       5F     1 
ld   e, b       58     1 
ld   e, c       59     1 
ld   e, d       5A     1 
ld   e, e       5B     1 
ld   e, h       5C     1 
ld   e, l       5D     1 
ld   h, (ix*)   DD66   3 
ld   h, (iy*)   FD66   3 
ld   h, (hl)    66     1 
ld   h, a       67     1 
ld   h, b       60     1 
ld   h, c       61     1 
ld   h, d       62     1 
ld   h, e       63     1 
ld   h, h       64     1 
ld   h, l       65     1 
ld   i, a       ED47   2 
ld   ix, (*)    DD2A   4 
ld   ix,*       DD21   4 
ld   iy, (*)    FD2A   4 
ld   iy,*       FD21   4 
ld   l, (hl)    6E     1 
ld   l, (ix*)   DD6E   3 
ld   l, (iy*)   FD6E   3 
ld   l, a       6F     1 
ld   l, b       68     1 
ld   l, c       69     1 
ld   l, d       6A     1 
ld   l, e       6B     1 
ld   l, h       6C     1 
ld   l, l       6D     1 
ld   r, a       ED4F   2 
ld   sp, (*)    ED7B   4 
ld   sp, hl     F9     1 
ld   sp, ix     DDF9   2 
ld   sp, iy     FDF9   2 
ld   sp,*       31     3 
ldd             EDA8   2 
lddr            EDB8   2 
ldi             EDA0   2 
neg             ED44   2 
or   (ix*)      DDB6   3 
or   (iy*)      FDB6   3 
or   (hl)       B6     1 
or   b          B0     1 
or   c          B1     1 
or   d          B2     1 
or   e          B3     1 
or   h          B4     1 
or   l          B5     1 
pop  af         F1     1 
pop  ix         DDE1   2 
pop  iy         FDE1   2 
push af         F5     1 
push ix         DDE5   2 
push iy         FDE5   2 
ret  c          D8     1 
ret  m          F8     1 
ret  nc         D0     1 
ret  nz         C0     1 
ret  p          F0     1 
ret  pe         E8     1 
ret  po         E0     1 
ret  z          C8     1 
reti            ED4D   2 
retn            ED45   2 
rl   (hl)       CB16   2 
rl   (ix*)      DDCB16 4 
rl   (iy*)      FDCB16 4 
rl   a          CB17   2 
rl   b          CB10   2 
rl   c          CB11   2 
rl   d          CB12   2 
rl   e          CB13   2 
rl   h          CB14   2 
rl   l          CB15   2 
rla             17     1 
rlc  (hl)       CB06   2 
rlc  (ix*)      DDCB06 4 
rlc  (iy*)      FDCB06 4 
rlc  a          CB07   2 
rlc  b          CB00   2 
rlc  c          CB01   2 
